participant,session,typing_speed,pause_ratio,backspace_ratio,mean_dwell,timing_variance,label
p068,2,3.6245074413784883,0.028941096356826693,0.06809669731018046,0.07755498808307797,0.0642591051876781,interested
p069,1,4.790098207147171,0.006669136717302705,0.0511300481659874,0.09726046683957022,0.023915743947279543,interested
p069,2,4.785036238633212,0.005170630816959669,0.060324026197862805,0.10733712512926577,0.0232870013675445,interested
p070,1,3.8750197235850736,0.007724719101123595,0.08321629213483146,0.1808985252808989,3.559466799387296,interested
p070,2,3.5158563327696095,0.011727078891257996,0.05223880597014925,0.21773596304193318,1.2278420067818474,interested
p071,1,1.930550933858556,0.011418685121107266,0.07993079584775087,0.14003114186851212,63.577610360738404,neutral
p071,2,2.411781399888487,0.00799488327470419,0.08730412535976975,0.142567316917173,50.139510526950424,interested
p072,1,1.0381682555147025,0.08461538461538462,0.03769230769230769,0.3460111538461539,151.1114280211064,neutral
p072,2,0.7104907256447245,0.07635206786850478,0.053375751148815834,0.8234814422057265,149.19765539907283,neutral
p073,1,4.079662495084958,0.0066844919786096255,0.09358288770053476,0.13660561497326204,1.0420910936065888,interested
p073,2,1.1928699337074788,0.07879616963064295,0.07332421340629275,0.9360254445964433,18.36149296726321,neutral
p074,1,4.002011875532521,0.019021739130434784,0.09001358695652174,0.08259103260869564,0.045962430561007975,interested
p074,2,4.016933447257425,0.011699507389162561,0.08589901477832512,0.08179002463054187,0.43260976137275975,interested
p075,1,3.212880807534072,0.02082514734774067,0.029469548133595286,0.16718585461689586,0.06756926613937811,interested
p075,2,2.6128512677150226,0.02699662542182227,0.02662167229096363,0.14969028871391077,3.986373135903741,interested
p076,1,1.5285005030085825,0.007207890743550834,0.04742033383915023,0.29037822458270107,156.48583565601544,neutral
p076,2,4.914948275828594,0.0022213994816734544,0.029248426508700482,0.15878452425027767,1.9324662177886136,interested
p077,1,4.201190501312138,0.009024644220756682,0.08434571329399514,0.08775841721624433,0.03391767667048462,interested
p077,2,4.217607769193616,0.008658008658008658,0.07958707958707958,0.0896030636030636,0.031427850376108166,interested
p078,1,1.970567884153914,0.01924375422012154,0.09149223497636733,0.3545327481431465,46.59576148443721,neutral
p078,2,1.7774781341792347,0.011791680314444808,0.08843760235833606,0.5041680314444809,32.24589018978481,neutral
p079,1,2.5509867342081365,0.057261124525698516,0.08347706105553639,0.06580993446015868,5.844736587415778,interested
p079,2,2.0753210528046333,0.05681063122923588,0.07408637873754152,0.06806976744186045,23.6588743593971,interested
p080,1,3.2216712802331844,0.011668611435239206,0.028004667444574097,0.18001750291715282,3.288997902690826,interested
